TIME,N_0:1,N_2:1,N_8:1
40.4,156481.15139722,42586.66941386,412.47243708
40.5,161387.19981781,43478.2551708,408.19696698
40.6,166445.07502079,44388.39973154,403.96581414
40.7,171659.34825772,45317.48485878,399.77851919
40.8,177034.72024461,46265.8999752,395.63462751
40.9,182576.02429824,47234.04230884,391.5336892
41,188288.22951271,48222.31704103,387.47525905
41.1,194176.44397393,49231.13745666,383.45889643
41.2,200245.91800964,50260.9250969,379.48416528
41.3,206502.04747203,51312.10991447,375.55063409
41.4,212950.37705014,52385.13043132,371.6578758
41.5,219596.6036083,53480.43389885,367.80546776
41.6,226446.5795472,54598.47646074,363.99299175
41.7,233506.31618317,55739.72331823,360.22003383
41.8,240781.98714143,56904.64889804,356.48618439
41.9,248279.93175819,58093.73702286,352.79103805
42,256006.65848631,59307.48108448,349.13419364
42.1,263968.84829879,60546.38421951,345.51525413
42.2,272173.35808354,61810.95948775,341.93382662
42.3,280627.22402282,63101.7300532,338.38952229
42.4,289337.66494983,64419.22936778,334.88195634
42.5,298312.08567447,65764.00135764,331.41074795
42.6,307558.08026968,67136.60061223,327.97552026
42.7,317083.43530915,68537.592576,324.57590032
42.8,326896.13304635,69967.55374282,321.21151903
42.9,337004.35452435,71427.07185309,317.88201113
43,347416.48260491,72916.74609352,314.58701515
43.1,358141.10490465,74437.18729962,311.32617333
43.2,369187.01662521,75989.01816087,308.09913168
43.3,380563.22326355,77572.8734286,304.90553982
43.4,392278.94318738,79189.40012646,301.74505104
43.5,404343.61006004,80839.25776367,298.6173222
43.6,416766.8750979,82523.11855079,295.52201374
43.7,429558.60914246,84241.66761819,292.4587896
43.8,442728.90452811,85995.60323714,289.42731722
43.9,456288.07672555,87785.6370434,286.42726747
44,470246.66573943,89612.49426344,283.45831464
44.1,484615.43723776,91476.91394315,280.5201364
44.2,499405.38338938,93379.64917903,277.61241375
44.3,514627.72338413,95321.46735186,274.73483101
44.4,530293.90360953,97303.1503627,271.88707577
44.5,546415.5974559,99325.49487135,269.06883884
44.6,563004.70472071,101389.312537,266.27981426
44.7,580073.35058129,103495.43026121,263.51969923
44.8,597633.88410363,105644.69043299,260.78819408
44.9,615698.87625345,107837.9511761,258.08500226
45,634281.11737403,110076.08659825,255.40983029
45.1,653393.61409382,112359.98704235,252.76238774
45.2,673049.58562515,114690.55933961,250.14238716
45.3,693262.45941372,117068.7270644,247.54954412
45.4,714045.86609703,119495.43079078,244.98357712
45.5,735413.63372799,121971.62835063,242.44420756
45.6,757379.78121866,124498.29509321,239.93115976
45.7,779958.51095712,127076.42414602,237.44416088
45.8,803164.20054911,129707.02667695,234.9829409
45.9,827011.39363429,132391.13215741,232.54723263
46,851514.78972573,135129.78862639,230.13677161
46.1,876689.23301949,137924.06295533,227.75129615
46.2,902549.70011998,140775.04111351,225.39054726
46.3,929111.28662535,143683.82843388,223.05426864
46.4,956389.19251615,146651.54987919,220.74220665
46.5,984398.70628925,149679.35030801,218.45411025
46.6,1013155.18777824,152768.39474072,216.18973105
46.7,1042674.04960076,155919.86862503,213.94882321
46.8,1072970.73717262,159134.97810086,211.73114342
46.9,1104060.7072283,162414.95026441,209.53645092
47,1135959.40478739,165761.03343104,207.36450744
47.1,1168682.23850652,169174.49739679,205.21507717
47.2,1202244.55435705,172656.63369824,203.08792675
47.3,1236661.60756957,176208.75587029,200.98282524
47.4,1271948.53278736,179832.19970179,198.8995441
47.5,1308120.31237262,183528.32348839,196.83785714
47.6,1345191.74281143,187298.50828258,194.79754053
47.7,1383177.3991658,191144.15814027,192.77837276
47.8,1422091.59752421,195066.7003637,190.78013461
47.9,1461948.35540568,199067.5857403,188.80260914
48,1502761.35007676,203148.28877696,186.84558164
48.1,1544543.87474524,207310.30792933,184.90883965
48.2,1587308.79260046,211555.16582582,182.9921729
48.3,1631068.48867583,215884.4094856,181.0953733
48.4,1675834.8195166,220299.61053029,179.21823491
48.5,1721619.06064334,224802.36538872,177.36055395
48.6,1768431.85181058,229394.2954943,175.52212872
48.7,1816283.14006939,234077.04747439,173.70275962
48.8,1865182.12065314,238852.29333105,171.90224914
48.9,1915137.17571726,243721.73061267,170.12040179
49,1966155.8109758,248687.08257575,168.35702413
49.1,2018244.59029142,253750.09833622,166.6119247
49.2,2071409.06828937,258912.5530096,164.88491405
49.3,2125653.72108173,264176.24783929,163.17580467
49.4,2180981.87520431,269543.01031225,161.48441101
49.5,2237395.63488634,275014.69426129,159.81054944
49.6,2294895.80779105,280593.17995327,158.15403822
49.7,2353481.82938523,286280.37416216,156.51469753
49.8,2413151.68611546,292078.21022642,154.89234936
49.9,2473901.83759063,297988.6480895,153.2868176
50,2535727.1379917,304013.67432279,151.69792792
