TIME,NIC:1,NIA:1,NIE:1
33,1.09885456,76.62566657,43.86331078
33.1,1.13345959,79.02917944,45.23772077
33.2,1.16914541,81.5071453,46.65461257
33.3,1.20594519,84.06181044,48.11526188
33.4,1.2438931,86.69548507,49.62098033
33.5,1.28302431,89.41054487,51.1731163
33.6,1.32337502,92.2094326,52.77305581
33.7,1.3649825,95.09465974,54.42222337
33.8,1.40788512,98.06880807,56.12208288
33.9,1.45212234,101.13453132,57.87413854
34,1.49773481,104.29455691,59.67993568
34.1,1.54476433,107.55168754,61.54106173
34.2,1.59325393,110.90880293,63.45914709
34.3,1.64324787,114.36886155,65.43586605
34.4,1.69479169,117.93490227,67.47293771
34.5,1.74793223,121.61004617,69.57212685
34.6,1.80271768,125.39749818,71.73524487
34.7,1.85919759,129.30054891,73.96415072
34.8,1.91742292,133.3225763,76.26075174
34.9,1.97744608,137.46704739,78.6270046
35,2.03932094,141.73752003,81.06491616
35.1,2.10310289,146.1376446,83.57654434
35.2,2.16884886,150.67116572,86.163999
35.3,2.23661737,155.34192388,88.82944275
35.4,2.30646854,160.15385715,91.57509179
35.5,2.37846418,165.11100278,94.4032167
35.6,2.45266775,170.21749879,97.3161432
35.7,2.52914447,175.47758552,100.31625287
35.8,2.60796131,180.89560718,103.40598392
35.9,2.68918705,186.47601323,106.58783178
36,2.77289231,192.22335986,109.86434975
36.1,2.8591496,198.14231126,113.23814959
36.2,2.94803333,204.23764089,116.71190201
36.3,3.03961987,210.51423267,120.28833716
36.4,3.13398759,216.97708204,123.97024502
36.5,3.23121689,223.63129698,127.76047572
36.6,3.33139023,230.48209882,131.66193978
36.7,3.43459216,237.53482302,135.67760834
36.8,3.5409094,244.79491981,139.81051318
36.9,3.65043081,252.26795459,144.06374673
37,3.76324749,259.95960833,148.44046194
37.1,3.87945277,267.87567762,152.94387207
37.2,3.99914224,276.02207471,157.57725032
37.3,4.12241383,284.40482721,162.34392933
37.4,4.24936777,293.03007764,167.24730059
37.5,4.38010668,301.90408276,172.29081363
37.6,4.51473557,311.03321264,177.47797511
37.7,4.65336186,320.42394942,182.81234772
37.8,4.79609544,330.08288585,188.29754888
37.9,4.94304863,340.01672351,193.93724925
38,5.09433625,350.23227067,199.73517105
38.1,5.25007562,360.73643985,205.6950862
38.2,5.41038658,371.53624497,211.82081411
38.3,5.57539148,382.63879819,218.11621935
38.4,5.74521522,394.05130623,224.58520899
38.5,5.91998523,405.7810663,231.23172972
38.6,6.09983147,417.83546166,238.0597646
38.7,6.28488643,430.22195648,245.07332959
38.8,6.47528514,442.94809043,252.27646972
