TIME,I_8:1,I_7:1,I_grad:1
36.5,92.22685563,217.9980191,821.96792803
36.6,91.27113468,216.8655116,813.44987678
36.7,90.32531758,215.73888742,805.02009743
36.8,89.38930171,214.61811599,796.67767525
36.9,88.46298551,213.50316691,788.42170498
37,87.54626845,212.39400993,780.25129072
37.1,86.63905106,211.29061496,772.16554589
37.2,85.74123491,210.19295208,764.16359307
37.3,84.85272257,209.1009915,756.24456394
37.4,83.97341762,208.01470361,748.40759918
37.5,83.10322466,206.93405893,740.65184838
37.6,82.24204925,205.85902815,732.97646993
37.7,81.38979796,204.78958211,725.38063095
37.8,80.5463783,203.72569179,717.86350718
37.9,79.71169876,202.66732834,710.42428292
38,78.88566877,201.61446304,703.06215091
38.1,78.06819868,200.56706733,695.77631225
38.2,77.2591998,199.52511281,688.56597633
38.3,76.45858435,198.48857119,681.43036074
38.4,75.66626544,197.45741437,674.36869115
38.5,74.88215711,196.43161436,667.38020127
38.6,74.10617426,195.41114335,660.46413277
38.7,73.33823271,194.39597365,653.61973515
38.8,72.57824911,193.38607773,646.84626569
38.9,71.826141,192.38142817,640.14298938
39,71.08182678,191.38199774,633.50917882
39.1,70.34522567,190.38775931,626.94411414
39.2,69.61625775,189.39868592,620.44708295
39.3,68.89484392,188.41475074,614.01738022
39.4,68.18090589,187.43592707,607.65430824
39.5,67.47436619,186.46218836,601.35717653
39.6,66.77514817,185.4935082,595.12530175
39.7,66.08317594,184.5298603,588.95800766
39.8,65.39837442,183.57121852,582.85462501
39.9,64.72066931,182.61755687,576.81449151
40,64.04998706,181.66884946,570.8369517
40.1,63.3862549,180.72507056,564.92135695
40.2,62.72940081,179.78619458,559.06706532
40.3,62.07935351,178.85219603,553.27344153
40.4,61.43604247,177.92304958,547.5398569
40.5,60.79939787,176.99873003,541.86568924
40.6,60.16935064,176.0792123,536.25032283
40.7,59.54583242,175.16447144,530.69314831
40.8,58.92877553,174.25448265,525.19356265
40.9,58.31811303,173.34922123,519.75096906
41,57.71377866,172.44866263,514.36477695
41.1,57.11570682,171.55278241,509.03440182
41.2,56.52383264,170.66155628,503.75926526
41.3,55.93809188,169.77496005,498.53879483
41.4,55.35842099,168.89296968,493.37242403
41.5,54.78475706,168.01556124,488.25959224
41.6,54.21703785,167.14271092,483.19974464
41.7,53.65520176,166.27439504,478.19233215
41.8,53.09918781,165.41059006,473.2368114
41.9,52.54893568,164.55127253,468.33264464
42,52.00438565,163.69641915,463.47929969
42.1,51.46547864,162.84600673,458.6762499
42.2,50.93215618,162.00001219,453.92297404
42.3,50.40436038,161.15841258,449.21895634
42.4,49.88203398,160.32118508,444.56368632
42.5,49.36512031,159.48830697,439.95665882
42.6,48.85356326,158.65975565,435.39737391
42.7,48.34730734,157.83550865,430.88533683
42.8,47.8462976,157.01554362,426.42005796
42.9,47.35047969,156.19983829,422.00105275
43,46.8597998,155.38837056,417.62784166
43.1,46.37420468,154.58111839,413.29995014
43.2,45.89364165,153.7780599,409.01690855
43.3,45.41805856,152.9791733,404.7782521
43.4,44.94740381,152.18443691,400.58352084
43.5,44.48162632,151.39382918,396.43225958
43.6,44.02067554,150.60732865,392.32401783
43.7,43.56450147,149.824914,388.25834979
43.8,43.11305461,149.04656399,384.23481428
43.9,42.66628596,148.27225751,380.25297467
44,42.22414705,147.50197356,376.31239887
44.1,41.7865899,146.73569123,372.41265927
44.2,41.35356704,145.97338974,368.55333269
44.3,40.92503147,145.21504842,364.73400032
44.4,40.50093669,144.46064668,360.95424772
44.5,40.08123669,143.71016406,357.21366472
44.6,39.66588592,142.9635802,353.5118454
44.7,39.25483931,142.22087486,349.84838806
44.8,38.84805227,141.48202787,346.22289516
44.9,38.44548064,140.7470192,342.63497328
45,38.04708075,140.01582891,339.08423306
45.1,37.65280937,139.28843715,335.5702892
45.2,37.26262372,138.56482421,332.09276037
45.3,36.87648144,137.84497044,328.65126922
45.4,36.49434066,137.12885632,325.24544227
45.5,36.11615989,136.41646242,321.87490996
45.6,35.7418981,135.70776942,318.53930651
45.7,35.37151468,135.00275809,315.23826997
45.8,35.00496944,134.3014093,311.97144212
45.9,34.64222261,133.60370403,308.73846846
46,34.28323482,132.90962334,305.53899815
46.1,33.92796713,132.21914842,302.372684
46.2,33.57638097,131.53226053,299.23918242
46.3,33.2284382,130.84894103,296.13815337
46.4,32.88410107,130.16917138,293.06926034
46.5,32.5433322,129.49293316,290.0321703
46.6,32.20609463,128.820208,287.02655369
46.7,31.87235175,128.15097766,284.05208433
46.8,31.54206737,127.48522399,281.10843947
46.9,31.21520562,126.82292892,278.19529965
47,30.89173105,126.16407449,275.31234877
47.1,30.57160856,125.50864282,272.45927397
47.2,30.25480341,124.85661613,269.63576564
47.3,29.94128123,124.20797673,266.84151739
47.4,29.63100799,123.56270703,264.07622601
47.5,29.32395002,122.92078953,261.3395914
47.6,29.02007401,122.2822068,258.63131661
47.7,28.71934698,121.64694152,255.95110773
47.8,28.4217363,121.01497646,253.29867393
47.9,28.12720968,120.38629448,250.67372736
48,27.83573515,119.76087851,248.07598319
48.1,27.5472811,119.1387116,245.5051595
48.2,27.26181621,118.51977686,242.96097734
48.3,26.97930952,117.90405751,240.4431606
48.4,26.69973036,117.29153683,237.95143607
48.5,26.42304841,116.68219822,235.48553335
48.6,26.14923364,116.07602514,233.04518485
48.7,25.87825633,115.47300114,230.63012575
48.8,25.61008708,114.87310988,228.24009398
48.9,25.3446968,114.27633507,225.87483019
49,25.08205668,113.68266052,223.53407769
49.1,24.82213823,113.09207012,221.21758249
49.2,24.56491325,112.50454787,218.9250932
49.3,24.31035381,111.92007781,216.65636105
49.4,24.0584323,111.3386441,214.41113984
49.5,23.80912139,110.76023095,212.18918594
49.6,23.56239401,110.18482267,209.99025821
49.7,23.31822341,109.61240367,207.81411805
49.8,23.07658307,109.0429584,205.66052931
49.9,22.83744679,108.47647141,203.52925827
50,22.60078861,107.91292735,201.42007368
50.1,22.36658285,107.35231092,199.33274663
50.2,22.1348041,106.79460692,197.26705063
50.3,21.90542722,106.2398002,195.22276152
50.4,21.6784273,105.68787573,193.19965744
50.5,21.45377971,105.13881853,191.19751887
50.6,21.23146009,104.5926137,189.21612853
50.7,21.01144431,104.04924643,187.25527142
50.8,20.79370849,103.50870197,185.31473474
50.9,20.578229,102.97096566,183.39430792
51,20.36498247,102.43602291,181.49378255
51.1,20.15394575,101.90385921,179.61295241
51.2,19.94509595,101.37446013,177.75161337
51.3,19.7384104,100.84781129,175.90956347
51.4,19.53386668,100.32389842,174.08660281
51.5,19.33144258,99.8027073,172.28253356
51.6,19.13111615,99.28422378,170.49715995
51.7,18.93286565,98.76843382,168.73028824
51.8,18.73666957,98.2553234,166.9817267
51.9,18.54250661,97.74487861,165.25128557
52,18.3503557,97.23708561,163.53877708
52.1,18.16019601,96.73193062,161.84401538
52.2,17.97200688,96.22939993,160.16681657
52.3,17.78576791,95.72947991,158.50699864
52.4,17.60145888,95.232157,156.86438148
52.5,17.41905979,94.7374177,155.23878683
52.6,17.23855086,94.2452486,153.63003829
52.7,17.05991249,93.75563634,152.03796128
52.8,16.8831253,93.26856764,150.46238304
52.9,16.70817011,92.78402928,148.90313258
53,16.53502793,92.30200813,147.36004071
53.1,16.36367997,91.82249109,145.83293996
53.2,16.19410764,91.34546518,144.32166463
53.3,16.02629255,90.87091743,142.82605072
53.4,15.86021648,90.39883499,141.34593592
53.5,15.69586141,89.92920504,139.88115962
53.6,15.5332095,89.46201484,138.43156286
53.7,15.37224311,88.99725172,136.99698835
53.8,15.21294478,88.53490306,135.57728039
53.9,15.0552972,88.07495634,134.17228494
54,14.89928329,87.61739905,132.78184952
54.1,14.7448861,87.16221881,131.40582325
54.2,14.59208889,86.70940325,130.0440568
54.3,14.44087508,86.25894009,128.69640241
54.4,14.29122825,85.81081711,127.36271383
54.5,14.14313217,85.36502216,126.04284632
54.6,13.99657077,84.92154313,124.73665667
54.7,13.85152815,84.480368,123.44400312
54.8,13.70798856,84.0414848,122.16474541
54.9,13.56593643,83.60488163,120.89874471
55,13.42535635,83.17054663,119.64586363
55.1,13.28623306,82.73846803,118.40596623
55.2,13.14855147,82.3086341,117.17891794
55.3,13.01229664,81.88103318,115.96458562
55.4,12.87745378,81.45565368,114.76283749
55.5,12.74400825,81.03248404,113.57354313
55.6,12.61194559,80.6115128,112.39657349
55.7,12.48125145,80.19272853,111.23180085
55.8,12.35191167,79.77611987,110.07909881
55.9,12.22391219,79.36167551,108.93834228
56,12.09723914,78.94938422,107.80940747
56.1,11.97187876,78.5392348,106.69217186
56.2,11.84781747,78.13121614,105.58651423
56.3,11.72504178,77.72531716,104.49231459
56.4,11.60353838,77.32152684,103.4094542
56.5,11.4832941,76.91983425,102.33781555
56.6,11.36429587,76.52022847,101.27728234
56.7,11.24653078,76.12269867,100.2277395
56.8,11.12998606,75.72723406,99.18907313
56.9,11.01464907,75.33382391,98.16117051
57,10.90050728,74.94245756,97.1439201
57.1,10.78754831,74.55312438,96.13721151
57.2,10.6757599,74.16581381,95.1409355
57.3,10.56512992,73.78051534,94.15498396
57.4,10.45564638,73.39721852,93.17924988
57.5,10.34729738,73.01591296,92.21362739
57.6,10.24007117,72.6365883,91.25801169
57.7,10.13395611,72.25923426,90.3122991
57.8,10.0289407,71.8838406,89.37638698
57.9,9.92501354,71.51039713,88.45017376
58,9.82216334,71.13889373,87.53355895
58.1,9.72037895,70.76932031,86.62644307
58.2,9.61964932,70.40166685,85.72872768
58.3,9.51996353,70.03592338,84.84031536
58.4,9.42131076,69.67207996,83.96110972
58.5,9.32368029,69.31012674,83.09101533
58.6,9.22706155,68.95005389,82.22993777
58.7,9.13144404,68.59185165,81.37778362
58.8,9.03681738,68.23551029,80.53446038
58.9,8.94317132,67.88102014,79.69987656
59,8.85049568,67.5283716,78.87394157
59.1,8.75878042,67.17755509,78.05656579
59.2,8.66801557,66.8285611,77.24766053
59.3,8.5781913,66.48138016,76.447138
59.4,8.48929785,66.13600284,75.65491133
59.5,8.40132558,65.79241979,74.87089455
59.6,8.31426494,65.45062167,74.09500259
59.7,8.22810649,65.11059922,73.32715123
59.8,8.14284088,64.77234321,72.56725717
59.9,8.05845885,64.43584447,71.81523793
60,7.97495124,64.10109386,71.07101192
60.1,7.892309,63.76808231,70.33449836
60.2,7.81052317,63.43680077,69.60561733
60.3,7.72958485,63.10724027,68.88428974
60.4,7.64948528,62.77939185,68.17043731
60.5,7.57021576,62.45324664,67.46398258
60.6,7.49176768,62.12879577,66.76484888
60.7,7.41413254,61.80603045,66.07296035
60.8,7.33730192,61.48494192,65.38824189
60.9,7.26126746,61.16552146,64.71061922
61,7.18602094,60.84776042,64.04001879
61.1,7.11155417,60.53165018,63.37636783
